QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT OPTION
"1 - A palavra ""corcho"" significa:",cocho,cortés,rolha,corte,corda,C
2 - (UFRGS) De las palabras abajo‚ la única que NO pertenece al género femenino es:,dolor,recompensa,diabetes,obesidad,señal,A
"3 - (UFRGS) Si a la frase‚ ""sus obras sobresalen""‚ añadiéramos la expresión ""en el futuro""‚ la forma verbal correcta sería:",sobresalirán,sobresaldrán,sobresalieron,sobresalían,sobresaldrían,B
1 - (UFRGS) A melhor tradução para pago contado é:,dinheiro trocado,pagamento à vista,pagar com dinheiro,pagamento antecipado,dinheiro contado,B
2 - Marque a opção incorreta quanto ao uso dos artigos:,la baraja; la tapia; el guante; el corcho,la tapia; el gafa; el frente; el testigo,la rama; la miel; el estante; el taller,el árbol; el testigo; la tiza; la dínamo,la dínamo; la pesadilla; el orden; la tapia,B
"3 - (UFRGS) Si a la frase ""las emociones favorables y positivas pueden combatir los efectos daniños de la tensión...""‚ añadiéramos la expresión ""en el futuro""‚ la forma verbal subrayada sería sustituible por:",pudieren,pudieran,pudieron,podrán,podían,D
"1 - A expressão ""Ud. podrá canjear al instante por atractivos obsequios"" equivale em português a ""Você poderá...","granjear em instantes atrativos obséquios"".","conseguir num instante‚ por atrativo‚ gentilezas"".","trocar‚ imediatamente‚ por atraentes brindes"".","substituir‚ por vistosos presentes"".","receber‚ por instantes‚ atraentes amostras"".",C
3 - (UFRGS) La expresión ha convertido puede ser sustituida‚ sin alterar el sentido‚ por :,convirtió,convirtiera,convirtiese,convierte,convertirá,A
4 - A palavra apaciguarse se traduz por:,aplastar-se,anular-se,acalmar-se,alentar-se,alentar-se,C
"1 - (UFRGS) Na frase ""Todos estos veranos parecen muy lejanos‚ a palavra destacada significa:",esquecidos,estranhos,distantes,próximos,perfeitos,C
2 - (UFRGS) Si pusiéramos artículos delante de los vocablos aceites‚ sal‚ harina‚ huevos y leche‚ estos serían:,lo‚ la‚ el‚ los‚ la.,lo‚ el‚ el‚ lo‚ las.,los‚ la‚ el‚ los‚ la.,los‚ el‚ la‚ lo‚ las.,los‚ la‚ la‚ los‚ la.,E
3 - (UFRGS) La expresión se han lanzado puede ser sustituida por:,se lanzaron,se lanzarán,se lanzaran,se lanzan,se lanzaban,A
2 - La crisis actual en el mundo atinge ___ gobierno‚ ___ economía‚ ___ social y ___ cultural.,lo - la - el - el,lo - la - el - lo,el - la - lo - lo,el - el - lo - el,el - la - el - el,C
"1 - A palavra ""baldosa"" significa:",azulejo,lareira,vaso sanitário,lençol,muro,A
2 - (PUCRS) Nunca pude saber ___ porqué de su enojo.,lo,el,los,la,las,B
"3 - (UFRGS) Si añadimos la palabra ""quizás"" a la frase ""el progreso técnico ha sido un pilar fundamental del desarrollo""‚ la forma verbal correcta es:",fue,hubiese sido,haya sido,hubiera sido,fuese,C
"1 - A palavra ""rechazan"" se traduz por:",recriminam,expulsam,eliminam,rejeitam,reprimem,D
4 - A melhor tradução para oficina é:,departamento,escritório,sede,agente,agente,B
"1 - (UFRGS) La frase ""Si hasta el conductor manejaba entre volutas de humo"" significa‚ en portugués:",Se também o motorista manejava entre voltas de fumo.,Inclusive o condutor dirigia manejando entre densa fumaça.,Se até o motorista dirigia entre espirais de fumaça.,Apenas o condutor dirigia aspirando o fumo.,Mesmo o motorista manejava entre uma nuvem de fumaça.,C
"3 - (PUC) La alternativa que presenta un verbo correspondiente en persona‚ tiempo y modo a ""fue"" es:",pudo,puse,oía,traje,anduve,A
4 - (UFRGS) A melhor tradução das palavras portafolios e escritórios é‚ respectivamente:,porta-livros e escritórios.,porta-folhas e mesas.,agendas e gabinetes.,pastas e escrivaninhas.,pastas e escrivaninhas.,D
2 - Assinale a afirmativa correta:,La estante es del color amarillo.,No jugamos la baraja en el puente.,El risa del testigo era alta.,La equipo estaba en la desorden.,Los guantes eran del color amarilla.,B
"4 - ""Cuchillo"" y ""olla"" son‚ respectivamente:",garfo - frigideira,garfo - panela,faca - concha,faca - panela,faca - panela,D
2 - (PUC) Dicen que ___ habla ___ hombres es mucho más agresiva que ___ lenguaje femenino.,lo - de los - la,la - del - lo,el - de los - el,la - dos - la,el - del - él,C
"1 - ""Retrete"" é o mesmo que:",vaso de flores,retrato,espelho,vaso sanitário,porta-retratos,D
"1 - A palavra ""sábana"" significa:",lençol,cobertor,almofada,fronha,ralo,A
2 - A opção cujo gênero está incorreto é:,Las gafas son una costumbre moderna.,Mientras bailo un vals él mira el paisaje.,Se cayó del tapia y se agarró en el árbol.,El juez pone el orden en la protesta.,Hoy es el estreno de la protesta de los obreros.,C
"3 - (PUC) La alternativa que presenta un verbo correspondiente en persona‚ tiempo y modo a ""pudo"" es",tuve,salió,tengo,sabía,hago,B
4 - A palavra juguete corresponde‚ em português‚ a:,joguete,brinquedo,jogo,juízo,juízo,B
"3 - (PUC) A tradução correta da forma verbal ""ha tomado"" é:",tem tomado,está tomando,tomava,tomou,vem tomando,D
"4 - ""Calcetines""‚ ""perejil""‚ ""almeja"" significam‚ respectivamente:",meias‚ molho‚ minhoca,meias‚ salsa‚ marisco,calção‚ pernil‚ camarão,meias‚ salsa‚ ervilha,meias‚ salsa‚ ervilha,B
"3 - (UFRGS) Si la frase ""la cultura sólo puede existir sobre una base biológica..."" fuera redactada en el futuro‚ la forma verbal subrayada sería:",pudiera existir,podía existir,podría existir,pudo existir,podrá existir,E
"3 - (ULBRA) ""Confieso que he vivido"". La forma verbal subrayada puede ser sustituida por:",viviré,viviste,viví,vivo,viviese,C
4 - Aposentados‚ preconceito e tamanco escrevem-se‚ respectivamente:,alojados‚ prejuicio‚ sueco,jubilados‚ prejuicio‚ zueco,jubilados‚ prejuicio‚ sueco,aposentados‚ prejuício‚ zueco,aposentados‚ prejuício‚ zueco,B
"4 - ""Débil"" y ""zurdo"" son‚ respectivamente:",fraco - surdo,magro - surdo,magro - canhoto,fraco - canhoto,fraco - canhoto,D
"4 - ""Mantel""‚ ""sótano"" y ""desván"" son‚ respectivamente:",toalha de banho - porão - sótão,toalha de mesa - porão - sótão,toalha de mesa - sótão - porão,tolha de banho - sótão - porão,tolha de banho - sótão - porão,B
3 - A alternativa em que os verbos estão na mesma pessoa‚ tempo e modo‚ no singular e plural é:,subsista - subsisten,tienes - tenéis,toque - toquéis,formó - formaran,crecí - crecemos,B
"1 - A palavra ""hambre"" se traduz por:",irritação,delinquência,otimismo,fome,pobreza,D
"1 - Marque o significado do verbo ""volver"":",empacotar,vir,envolver,voltar,voar,D
"2 - (FEEVALE) El vocablo ""del"" tiene como plural:",dels,deles,delos,deis,de los,E
"3 - (UFRGS) Con poca edad supe lo que era ganarme el pan con el sudor de mi frente‚ ""supe"" é uma forma conjugada do verbo:",subir,saber,superar,suplir,suponer,B
"2 - (UFRGS) Con poca edad supe lo que era ganarme el pan con el sudor de mi frente‚ ""supe"" é uma forma conjugada do verbo:",subir,saber,superar,suplir,suponer,B
"3 - ""Débil"" y ""zurdo"" son‚ respectivamente:",fraco - surdo,magro - surdo,magro - canhoto,fraco - canhoto,débil - canhoto,D
4 - (UFRGS) A melhor tradução para pago contado é:,dinheiro trocado,pagamento à vista,pagar com dinheiro,pagamento antecipado,pagamento antecipado,B
"2 - (PUC) La alternativa que presenta un verbo correspondiente en persona‚ tiempo y modo a ""pudo"" es",tuve,salió,tengo,sabía,hago,B
"3 - A palavra ""rechazan"" se traduz por:",recriminam,expulsam,eliminam,rejeitam,reprimem,D
"4 - (UFRGS) Si añadimos la palabra ""quizás"" a la frase ""el progreso técnico ha sido un pilar fundamental del desarrollo""‚ la forma verbal correcta es:",fue,hubiese sido,haya sido,hubiera sido,hubiera sido,C
"2 - (PUC) La alternativa que presenta un verbo correspondiente en persona‚ tiempo y modo a ""fue"" es:",pudo,puse,oía,traje,anduve,A
"4 - A palavra ""rechazan"" se traduz por:",recriminam,expulsam,eliminam,rejeitam,rejeitam,D
2 - (UFRGS) La expresión se han lanzado puede ser sustituida por:,se lanzaron,se lanzarán,se lanzaran,se lanzan,se lanzaban,A
"3 - ""Pelirrojo""‚ ""morado""‚ ""rubio"" significam‚ respectivamente:",loiro‚ castanho‚ moreno,moreno‚ loiro‚ ruivo,ruivo‚ rosa ‚ loiro,vermelho‚ roxo‚ ruivo,ruivo‚ roxo‚ loiro,E
"4 - A palavra ""hambre"" se traduz por:",irritação,delinquência,otimismo,fome,fome,D
"4 - A palavra ""corcho"" significa:",cocho,cortés,rolha,corte,corte,C
